lemma,gen,phon,freq_lex_books,freq_lex_subtitles,freq_frcow,last_process_broad,last_process_narrow,prefix,compound,conversion,suffix,suffix_broad,sfx_base,sfx_base_pos,autonomous_base,base_stem_phon,sfx_allomorph,der_stem_phon,edit_distance,pattern,pattern_tf,pattern_rel_tf,base_der_sim,offset_sim
berlingue,m,bɛʁ.lɛ̃g,0.34,0,34,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corton,m,kɔʁ.tɔ̃,0.27,0.03,398,suffix,suffix,0,0,0,on,on,cour,N,TRUE,kuʁ,ɔ̃,kɔʁt,2,_u_~_ɔ_tɔ̃,1,0.015625,0.222162783145905,0.158108526129264
dabuche,f,da.byʃ,0.54,0,3,suffix,suffix,0,0,0,uche,Vche,dabe,N,TRUE,UNKNOWN,yʃ,dab,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
faf,m,faf,0.88,0.07,3422,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gail,f,gaj,0.61,0,2471,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kil,m,kil,0.54,0.17,11218,nonconcat,apocope,0,neoclassical,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mirus,m,mi.ʁys,0.54,0.09,52,simplex,antonomasia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rata,m,ʁa.ta,0.27,0.53,510,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sima,m,si.ma,0,0.37,1410,polylexical,acronym,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tex,m,tɛks,0.14,1.7,6080,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fric-frac,m,fʁi.kfʁak,0.41,0.25,161,nonconcat,reduplication,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
boer,m,buʁ,0.41,0.01,2846,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lotta,f,lO.ta,0.41,0.16,959,simplex,antonomasia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nanan,m,na.nɑ̃,0.74,0.04,348,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
socquette,f,sO.kɛt,2.16,0.38,710,simplex,antonomasia,0,0,0,ette,et,sock,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
sleeping,m,sli.piŋ,0.34,0.37,1421,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coco,f,kO.ko,7.77,8.58,29598,nonconcat,reduplication,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yougoslave,f,ju.gO.slav,1.96,0.26,733,polylexical,neoclassical_compound,0,neoclassical,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
espingo,f,Es.pɛ̃.go,1.55,0,7,nonconcat,apocope_with_appendix,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coca,f,kO.ka,2.64,14.53,20414,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mamie,f,ma.mi,2.3,18.66,21787,nonconcat,apocope_with_appendix,0,0,0,ie,ie,maman,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
cola,m,kO.la,0.74,0.45,8011,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
optimisme,m,ɔp.ti.mizm,6.55,1.66,31288,suffix,suffix,0,0,0,isme,isme,optim-,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
optimiste,f,Op.ti.mist,0.81,1.03,5690,suffix,suffix,0,0,A,iste,iste,optim-,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
alpiniste,m,al.pi.nist,1.49,1.96,5819,suffix,suffix,0,0,0,iste,iste,alpin,A,TRUE,alpin,ist,alpin,0,_~_ist,53,0.56989247311828,0.442592799663544,0.454843023006724
masochiste,f,ma.zO.ʃist,0.47,0.29,966,suffix,suffix,0,0,A,iste,iste,Masoch,NP,TRUE,UNKNOWN,ist,mazOʃ,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
vicomte,m,vi.kɔ̃t,6.28,0.44,11322,prefix,prefix,vice,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
numismate,m,ny.mi.smat,0.47,0.01,922,nonconcat,back_formation,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
polaroid,m,pO.la.ʁO.id,0,0.39,12,simplex,borrowing,0,0,0,oïde,oïde,polariser,V,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
scanner,m,ska.nɛʁ,0.14,8.56,32210,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fanzine,m,fɑ̃.zin,0.07,0.49,5664,polylexical,blend,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
binz,m,binz,0.14,0.27,554,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
victoria,m,vik.tɔ.ʁja,0.47,0.02,1710,simplex,antonomasia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glandu,f,glɑ̃.dy,0,0.57,175,conversion,conversion-A,0,0,A,u,u,gland,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
garde-forestier,m,gaʁ.də.fO.ʁEs.tje,0.14,0.16,118,polylexical,native_compound,0,NOUN-ADJ,0,ier,ier,forêt,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
dine,f,din,0.07,1.24,1035,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
panouille,f,pa.nuj,0.54,0.01,86,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pique-assiette,f,pi.ka.sjɛt,0.34,0.39,568,polylexical,native_compound,0,VERB-NOUN,0,ette,et,assise,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gymnaste,m,ʒim.nast,1.35,0.35,4964,polylexical,neoclassical_compound,0,neoclassical,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julienne,f,ʒy.ljɛn,0.74,0.04,1813,simplex,antonomasia,0,0,0,ienne,ien,Jules,NP,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
tohu-bohu,m,tO.y.bO.y,1.42,0.18,1264,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
russe,m,ʁys,40.27,35.44,29788,simplex,native_simplex,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pitaine,m,pi.tɛn,2.09,0,117,nonconcat,procope,0,0,0,aine,ain,capit-,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
enthousiaste,f,ɑ̃.tu.zjast,0.88,0.71,3776,suffix,suffix,0,0,A,aste,aste,enthousiasme,N,TRUE,ɑ̃tuzj,ast,ɑ̃tuzj,0,_~_ast,2,1,0.564238786697388,0.97916762141003
enthousiaste,m,ɑ̃.tu.zjast,0.88,0.71,3776,suffix,suffix,0,0,A,aste,aste,enthousiasme,N,TRUE,ɑ̃tuzj,ast,ɑ̃tuzj,0,_~_ast,2,1,0.564238786697388,0.97916762141003
hypocrite,f,i.pO.kʁit,2.91,5.41,8822,conversion,conversion-A,0,0,A,ite,ite,hypocrisie,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
iconoclaste,f,i.kO.nO.klast,0.47,0.11,1447,suffix,suffix,0,0,A,aste,aste,iconoclasme,N,TRUE,UNKNOWN,ast,ikOnOkl,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.672081351280212,0.356800741226953
radical,m,ʁa.di.kal,0.47,0.08,18798,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
personnel,m,pɛʁ.sO.nɛl,19.32,22.65,608286,conversion,conversion-A,0,0,A,el,el,personne,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
abatis,m,a.ba.ti,0.88,0,220,suffix,suffix,0,0,0,is,is,abattre,V,TRUE,abat,i,abat,0,_~_i,9,0.9,0.406848132610321,0.619443496637443
abattant,m,a.ba.tɑ̃,0.61,0.07,960,suffix,suffix,a,0,0,ant,ant,abattre,V,TRUE,abat,ɑ̃,abat,0,_~_ɑ̃,38,1,0.024019803851843,0.542614394615504
abbé,m,a.be,33.51,4.46,98839,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ablation,f,a.bla.sjɔ̃,1.35,0.45,11502,suffix,suffix,0,0,0,ion,ion,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ablette,f,a.blɛt,0.95,0.14,634,suffix,suffix,0,0,0,ette,et,able,N,TRUE,abl,ɛt,abl,0,_~_ɛt,46,0.836363636363636,0.150815844535828,-0.002077885786863
aboi,m,a.bwa,3.58,0.78,4808,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abonnement,m,a.bɔ.nə.mɑ̃,1.62,4.82,132658,suffix,suffix,0,0,0,ment,ment,abonner,V,TRUE,abOn,əmɑ̃,abɔn,0,_O_~_ɔ_əmɑ̃,27,0.160714285714286,0.534199953079224,0.696529900543791
aboutissant,m,a.bu.ti.sɑ̃,0.95,0.09,4731,suffix,suffix,a,0,0,ant,ant,aboutir,V,TRUE,abutis,ɑ̃,abutis,0,_~_ɑ̃,38,1,0.179960876703262,0.4427815678027
aboutissement,m,a.bu.ti.sə.mɑ̃,4.05,0.5,32187,suffix,suffix,a,0,0,ment,ment,aboutir,V,TRUE,abutis,əmɑ̃,abutis,0,_~_əmɑ̃,114,0.678571428571429,0.481652915477753,0.335924606578932
aboyeur,m,a.bwa.jœʁ,0.61,0.06,1310,suffix,suffix,0,0,A,eurM,eurM1,aboyer,V,TRUE,abwaj,œʁ,abwaj,0,_~_œʁ,134,0.761363636363636,0.570875525474548,0.392486827348696
abracadabra,m,a.bʁa.ka.da.bʁa,0.27,0.98,956,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abri,m,a.bʁi,56.76,25.9,138367,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
absence,f,a.psɑ̃s,76.28,22.86,491979,suffix,suffix,0,0,0,ence,ence,absent,A,TRUE,aps,ɑ̃s,aps,0,_~_ɑ̃s,14,1,0.316136211156845,0.666907932861251
absorption,f,a.psɔʁ.psjɔ̃,2.03,0.58,35316,suffix,suffix,0,0,0,ion,ion,absorber,V,TRUE,apsɔʁb,jɔ̃,apsɔʁps,2,_b~_psjɔ̃,1,0.007194244604317,0.584846496582031,0.783655331668033
absurdité,f,a.psyʁ.di.te,6.28,2.34,25166,suffix,suffix,0,0,0,ité,ité,absurde,A,TRUE,apsyʁd,ite,apsyʁd,0,_~_ite,32,0.581818181818182,0.681179106235504,0.735298523578725
acabit,m,a.ka.bi,1.62,0.17,6636,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acacia,m,a.ka.sja,6.35,0.26,7208,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acajou,m,a.ka.ʒu,5.95,0.52,5194,simplex,native_simplex,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acanthe,f,a.kɑ̃t,0.61,0.04,1621,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accalmie,f,a.kal.mi,3.72,0.5,5371,conversion,conversion-V12,a,0,V12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accessoiriste,f,a.ksE.swa.ʁist,0.14,0.62,1605,suffix,suffix,0,0,0,iste,iste,accessoire,N,TRUE,aksEswaʁ,ist,aksEswaʁ,0,_~_ist,53,0.56989247311828,0.576124787330627,0.498330861317701
accident,m,a.ksi.dɑ̃,44.8,108.21,376328,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accidentée,f,a.ksi.dɑ̃.te,0.61,0.57,0,suffix,suffix,0,0,0,ée,é,accident,N,TRUE,aksidɑ̃,e,aksidɑ̃t,1,_~_te,1,0.076923076923077,UNKNOWN,UNKNOWN
accordeur,m,a.kɔʁ.dœʁ,0.61,0.25,2201,suffix,suffix,0,0,0,eurM,eurM1,accorder,V,TRUE,akɔʁd,œʁ,akɔʁd,0,_~_œʁ,134,0.761363636363636,-0.093228727579117,0.576813958904537
accotement,m,a.kɔ.tə.mɑ̃,1.42,0.01,2126,suffix,suffix,a,0,0,ment,ment,accoter,V,TRUE,akOt,əmɑ̃,akɔt,0,_O_~_ɔ_əmɑ̃,27,0.160714285714286,0.205634474754333,0.382107574742969
accroche,f,a.kʁɔʃ,0.27,0.65,14527,conversion,conversion-V0,a,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accroissement,m,a.kʁwa.sə.mɑ̃,1.28,0.41,63375,suffix,suffix,a,0,0,ment,ment,accroitre,V,TRUE,UNKNOWN,əmɑ̃,akʁwas,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
accueil,m,a.kœj,16.42,13.83,601023,conversion,conversion-V0,a,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
accumulation,f,a.ky.my.la.sjɔ̃,3.78,0.67,53092,suffix,suffix,a,0,0,ion,ion,accumuler,V,TRUE,akymyl,asjɔ̃,akymyl,0,_~_asjɔ̃,83,0.597122302158273,0.557096481323242,0.749113398796188
accusation,f,a.ky.za.sjɔ̃,8.85,19.72,93056,suffix,suffix,0,0,0,ion,ion,accuser,V,TRUE,akyz,asjɔ̃,akyz,0,_~_asjɔ̃,83,0.597122302158273,0.428379595279694,0.683715624034617
accusée,f,a.ky.ze,11.69,13.74,1705,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acharnement,m,a.ʃaʁ.nə.mɑ̃,8.24,0.6,25025,suffix,suffix,0,0,0,ment,ment,acharner,V,TRUE,aʃaʁn,əmɑ̃,aʃaʁn,0,_~_əmɑ̃,114,0.678571428571429,0.424280613660812,0.606794331653842
acheteur,m,a.ʃə.tœʁ,5.47,6.57,107617,suffix,suffix,0,0,A,eurM,eurM1,acheter,V,TRUE,aʃət,œʁ,aʃət,0,_~_œʁ,134,0.761363636363636,0.225522503256798,0.737607670852404
acide,m,a.sid,4.8,9.46,98207,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acquêt,m,a.kɛ,0.2,0.14,1838,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acquitté,m,a.ki.te,0.07,0.35,0,conversion,conversion-A,a,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acre,f,akʁ,0.41,0.83,4574,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acrobate,f,a.kʁO.bat,4.12,2.34,6093,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acte,m,akt,57.3,56.81,820987,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actif,m,ak.tif,1.49,1.58,104356,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
action,f,a.ksjɔ̃,87.43,69.27,1941882,suffix,suffix,0,0,V0,ion,ion,agir,V,TRUE,aʒis,jɔ̃,aks,2,_ʒi_~_k_jɔ̃,1,0.007194244604317,0.079928085207939,0.584638680383106
activité,f,ak.ti.vi.te,38.92,23.47,2130728,suffix,suffix,0,0,0,ité,ité,actif,A,TRUE,aktiv,ite,aktiv,0,_~_ite,32,0.581818181818182,0.332210004329681,0.580504674355343
adagio,m,a.da.dʒjo,0.34,0.13,1229,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
addiction,f,a.di.ksjɔ̃,0.07,0.41,33455,suffix,suffix,0,0,0,ion,ion,addict,A,TRUE,UNKNOWN,jɔ̃,adiks,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
adepte,f,a.dɛpt,2.84,2.73,79448,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adepte,m,a.dɛpt,2.84,2.73,79448,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adjonction,f,a.dʒɔ̃.ksjɔ̃,0.41,0.02,11639,suffix,suffix,0,0,0,ion,ion,adjoindre,V,TRUE,adʒwaɲ,jɔ̃,adʒɔ̃ks,3,_waɲ~_ɔ̃ksjɔ̃,2,0.014388489208633,0.015205472707749,0.33799399562475
adjudant,m,a.dʒy.dɑ̃,22.23,16.6,7347,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adjudication,f,a.dʒy.di.ka.sjɔ̃,0.2,0.37,11125,suffix,suffix,0,0,0,ion,ion,adjudiquer,V,TRUE,UNKNOWN,asjɔ̃,adʒydik,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
administrateur,m,a.dmi.nis.tʁa.tœʁ,4.73,4.95,159392,suffix,suffix,0,0,0,eurM,eurM2,administrer,V,TRUE,administʁ,atœʁ,administʁ,0,_~_atœʁ,22,0.125,0.241185009479523,0.608795450471857
administratif,m,a.dmi.nis.tʁa.tif,0.41,0.11,2,conversion,conversion-A,0,0,A,if,if,administration,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
admiration,f,a.dmi.ʁa.sjɔ̃,32.7,4.54,52172,suffix,suffix,0,0,0,ion,ion,admirer,V,TRUE,admiʁ,asjɔ̃,admiʁ,0,_~_asjɔ̃,83,0.597122302158273,0.469238936901093,0.608949041324536
admission,f,a.dmi.sjɔ̃,1.82,3.42,90950,suffix,suffix,0,0,0,ion,ion,admettre,V,TRUE,admEt,jɔ̃,admis,2,_Et~_isjɔ̃,2,0.014388489208633,0.175653755664825,0.529973401028734
ado,m,a.do,0.2,3.4,26708,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adoptée,f,a.dOp.te,0.61,0.09,0,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adoucissement,m,a.du.si.sə.mɑ̃,0.61,0.01,1758,suffix,suffix,a,0,0,ment,ment,adoucir,V,TRUE,adusis,əmɑ̃,adusis,0,_~_əmɑ̃,114,0.678571428571429,0.511174738407135,0.645601182880737
adulation,f,a.dy.la.sjɔ̃,0.81,0.16,1170,suffix,suffix,0,0,0,ion,ion,aduler,V,TRUE,adyl,asjɔ̃,adyl,0,_~_asjɔ̃,83,0.597122302158273,0.542395234107971,0.429113875379523
adulte,f,a.dylt,27.64,23.34,254705,simplex,native_simplex,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adverbe,m,a.dvɛʁb,0.61,0.11,7003,polylexical,neoclassical_compound,0,neoclassical,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adversité,f,a.dvɛʁ.si.te,2.16,1.3,11251,suffix,suffix,0,0,0,ité,ité,adverse,A,TRUE,advɛʁs,ite,advɛʁs,0,_~_ite,32,0.581818181818182,0.278447329998016,0.393999292271277
aède,m,a.ɛd,0.27,0.11,2560,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
affairement,m,a.fɛ.ʁə.mɑ̃,0.54,0,259,suffix,suffix,0,0,0,ment,ment,affairer,V,TRUE,afEʁ,əmɑ̃,afɛʁ,0,_E_~_ɛ_əmɑ̃,9,0.053571428571429,0.304156124591827,0.449299703784633
affiliation,f,a.fi.lja.sjɔ̃,0.14,0.33,37616,suffix,suffix,0,0,0,ion,ion,affilier,V,TRUE,afilj,asjɔ̃,afilj,0,_~_asjɔ̃,83,0.597122302158273,0.657459437847137,0.573398640036571
affliction,f,a.fli.ksjɔ̃,2.77,1.27,7914,suffix,suffix,0,0,0,ion,ion,affliger,V,TRUE,afliʒ,jɔ̃,afliks,2,_ʒ~_ksjɔ̃,1,0.007194244604317,0.627746343612671,0.662393181778096
affluent,m,a.fly.ɑ̃,0.95,0.39,9538,suffix,suffix,0,0,0,ent,ent,affluer,V,TRUE,afly,ɑ̃,afly,0,_~_ɑ̃,2,0.666666666666667,0.05050029233098,0.828817466657466
affranchi,m,a.fʁɑ̃.ʃi,1.49,1.34,3233,conversion,conversion-A,a,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
affranchissement,m,a.fʁɑ̃.ʃi.sə.mɑ̃,0.47,0.05,8924,suffix,suffix,a,0,0,ment,ment,affranchir,V,TRUE,afʁɑ̃ʃis,əmɑ̃,afʁɑ̃ʃis,0,_~_əmɑ̃,114,0.678571428571429,0.458000481128693,0.649645017910542
affre,f,afʁ,2.36,1.23,35,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
affreux,m,a.fʁø,3.78,2.79,0,conversion,conversion-A,0,0,A,eux,eux,affre,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
aga,m,a.ga,6.01,0.65,4085,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agacerie,f,a.ga.sə.ʁi,0.54,0.01,187,suffix,suffix,0,0,0,erie,erie,agacer,V,TRUE,agas,əʁi,agas,0,_~_əʁi,40,0.740740740740741,0.456838071346283,0.46734884291243
agape,f,a.gap,0.68,0.04,3599,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agenda,m,a.ʒɛ̃.da,6.08,5.84,88855,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agenouillement,m,a.ʒə.nu.jə.mɑ̃,0.27,0.27,367,suffix,suffix,a,0,0,ment,ment,agenouiller,V,TRUE,aʒənuj,əmɑ̃,aʒənuj,0,_~_əmɑ̃,114,0.678571428571429,0.364443421363831,0.522127767139302
agissement,m,a.ʒi.sə.mɑ̃,1.08,1.34,1929,suffix,suffix,0,0,0,ment,ment,agir,V,TRUE,aʒis,əmɑ̃,aʒis,0,_~_əmɑ̃,114,0.678571428571429,0.131751388311386,0.328824347205355
agitation,f,a.ʒi.ta.sjɔ̃,21.35,4.73,38503,suffix,suffix,0,0,0,ion,ion,agiter,V,TRUE,aʒit,asjɔ̃,aʒit,0,_~_asjɔ̃,83,0.597122302158273,0.475618928670883,0.763143009024117
agrandissement,m,a.gʁɑ̃.di.sə.mɑ̃,1.69,0.9,25955,suffix,suffix,a,0,0,ment,ment,agrandir,V,TRUE,agʁɑ̃dis,əmɑ̃,agʁɑ̃dis,0,_~_əmɑ̃,114,0.678571428571429,0.499852955341339,0.731019121313997
agrandisseur,m,a.gʁɑ̃.di.sœʁ,0.27,0.13,819,suffix,suffix,a,0,0,eurM,eurM1,agrandir,V,TRUE,agʁɑ̃dis,œʁ,agʁɑ̃dis,0,_~_œʁ,134,0.761363636363636,0.179956674575806,0.527828982504741
agriculture,f,a.gʁi.kyl.tyʁ,2.77,3.39,295727,polylexical,neoclassical_compound,0,neoclassical,0,ureF,ureF,agriculteur,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
agrume,m,a.gʁym,0.54,0.41,13325,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ahanement,m,a.a.nə.mɑ̃,0.34,0,122,suffix,suffix,0,0,0,ment,ment,ahaner,V,TRUE,aan,əmɑ̃,aan,0,_~_əmɑ̃,114,0.678571428571429,0.623678803443909,0.34908361797089
ahuri,m,a.y.ʁi,3.04,0.41,1,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aide-soignant,m,ɛ.dswa.ɲɑ̃,0.27,0.4,2728,polylexical,native_compound,0,NOUN-NOUN,0,ant,ant,soigner,V,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
aigle,f,ɛgl,11.35,6.9,35697,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aigle,m,ɛgl,11.35,6.9,35697,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aigre,m,ɛgʁ,1.22,0.31,0,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aigri,m,E.gʁi,0.54,0.4,2792,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ail,m,aj,7.97,9.14,49073,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aileron,m,ɛ.lə.ʁɔ̃,1.49,0.79,13836,suffix,suffix,0,0,0,on,on,aile,N,TRUE,ɛl,ɔ̃,ɛləʁ,2,_~_əʁɔ̃,4,0.0625,0.644601881504059,0.24987059383341
aine,f,ɛn,2.77,0.64,9713,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airain,m,E.ʁɛ̃,1.69,0.17,6891,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ais,m,ɛ,0.47,10.14,29061,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aise,f,ɛz,52.64,32.73,93912,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ajournement,m,a.ʒuʁ.nə.mɑ̃,0.14,0.47,3440,suffix,suffix,a,0,0,ment,ment,ajourner,V,TRUE,aʒuʁn,əmɑ̃,aʒuʁn,0,_~_əmɑ̃,114,0.678571428571429,0.726187705993652,0.666918601348177
