lemma,gen,phon,freq_lex_books,freq_lex_subtitles,freq_frcow,last_process_broad,last_process_narrow,prefix,compound,conversion,suffix,suffix_broad,sfx_base,sfx_base_pos,autonomous_base,base_stem_phon,sfx_allomorph,der_stem_phon,edit_distance,pattern,pattern_tf,pattern_rel_tf,base_der_sim,offset_sim
citadelle,f,si.ta.dɛl,6.42,0.98,22892,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cité,f,si.te,23.99,16.11,304034,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
citoyenneté,f,si.twa.jɛ.nə.te,0.34,1.13,78428,suffix,suffix,0,0,0,té,ité,citoyen,A,TRUE,UNKNOWN,əte,sitwajɛn,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.177712723612785,0.467511256411734
city,f,si.ti,0.27,0.54,1674,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
civelle,f,si.vɛl,0.27,0.3,674,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
civière,f,si.vjɛʁ,4.46,2.42,3321,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
civilisé,m,si.vi.li.ze,0.47,0.6,0,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
claie,f,klɛ,2.43,0.01,1312,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clair-obscur,m,klɛ.ʁO.pskyʁ,1.96,0.02,2986,conversion,conversion-A,0,ADJ-ADJ,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
claire,f,klɛʁ,1.69,6.8,4926,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
claire-voie,f,klɛʁ.vwa,2.43,0.01,763,polylexical,native_compound,0,ADJ-NOUN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clairvoyance,f,klɛʁ.vwa.jɑ̃s,1.89,0.67,11301,polylexical,native_compound,0,ADJ-NOUN,0,ance,ance,voir,V,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
clampin,m,klɑ̃.pɛ̃,0.34,0.03,1089,suffix,suffix,0,0,0,in,in,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clandé,m,klɑ̃.de,1.35,0.19,210,nonconcat,apocope,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clappement,m,kla.pə.mɑ̃,0.54,0.01,61,suffix,suffix,0,0,0,ment,ment,clapper,V,TRUE,UNKNOWN,əmɑ̃,klap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.048511389642954,-0.044153934804017
claque,m,klak,14.26,6.88,27933,simplex,onomatopeic,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
claque-merde,m,kla.kə.mɛʁd,0.27,0.19,75,polylexical,native_compound,0,VERB-NOUN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
claquement,m,kla.klə.mɑ̃,14.73,0.96,7483,suffix,suffix,0,0,0,ment,ment,claquer,V,TRUE,klak,əmɑ̃,klakl,1,_~_ləmɑ̃,1,0.005952380952381,0.651507437229157,0.663171789963627
clarine,f,kla.ʁin,0.54,0.4,337,suffix,suffix,0,0,0,ine,in,clair,A,TRUE,klɛʁ,in,klaʁ,1,_ɛ_~_a_in,2,0.166666666666667,-0.042451314628124,0.326144306133716
clarinette,f,kla.ʁi.nɛt,3.58,2.21,14297,suffix,suffix,0,0,0,ette,et,clarine,N,TRUE,klaʁin,ɛt,klaʁin,0,_~_ɛt,46,0.836363636363636,0.422965168952942,0.003938519945984
clarinettiste,m,kla.ʁi.nE.tist,0.2,0.23,1783,suffix,suffix,0,0,0,iste,iste,clarinette,N,TRUE,klaʁinɛt,ist,klaʁinEt,0,_ɛ_~_E_ist,6,0.064516129032258,0.774626553058624,0.448035605421578
clarisse,f,kla.ʁis,0.41,0.33,1911,simplex,antonomasia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clash,m,klaʃ,1.55,1.7,10244,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
classicisme,m,kla.si.sizm,0.34,0.04,7166,suffix,suffix,0,0,0,isme,isme,classique,A,TRUE,klasik,izm,klasis,1,_k~_sizm,1,0.03030303030303,0.43305841088295,0.584929608501017
classification,f,kla.si.fi.ka.sjɔ̃,1.08,0.59,84772,suffix,suffix,0,0,0,ion,ion,classifier,V,TRUE,klasifik,asjɔ̃,klasifik,0,_~_asjɔ̃,83,0.597122302158273,0.52925455570221,0.651981253081246
clause,f,kloz,1.89,3.47,100221,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
claustration,f,klos.tʁa.sjɔ̃,1.01,0.02,415,suffix,suffix,0,0,0,ion,ion,claustrer,V,TRUE,UNKNOWN,asjɔ̃,klostʁ,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.185726225376129,0.100671563631307
clavier,m,kla.vje,3.58,1.77,135121,suffix,suffix,0,0,0,ier,ier,clé,N,TRUE,kle,je,klav,2,_~_avj,1,0.0125,0.280620515346527,-0.170227031233963
clé,f,kle,48.58,118.13,441735,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clergyman,m,klɛʁ.ʒi.man,0.81,0.05,395,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clic,m,klik,1.08,1.17,100246,simplex,onomatopeic,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cliente,f,kli.jɑ̃t,81.55,112.12,30733,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clignotement,m,kli.ɲɔ.tə.mɑ̃,1.49,0.07,2078,suffix,suffix,0,0,0,ment,ment,clignoter,V,TRUE,kliɲOt,əmɑ̃,kliɲɔt,0,_O_~_ɔ_əmɑ̃,27,0.160714285714286,0.74727588891983,0.54918066676182
climat,m,kli.ma,18.99,7.21,207699,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clin,m,klɛ̃,19.46,3.97,49577,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinique,f,kli.nik,11.82,18.79,84056,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clique,f,klik,3.11,2.78,21344,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clocheton,m,klɔ.ʃə.tɔ̃,2.09,0,1258,suffix,suffix,0,0,0,on,on,cloche,N,TRUE,klɔʃ,ɔ̃,klɔʃət,2,_~_ətɔ̃,1,0.015625,0.536906123161316,0.31712159416592
clodo,m,klO.do,4.05,4.12,3522,polylexical,blend,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cloisonnement,m,klwa.zɔ.nə.mɑ̃,0.68,0.01,7273,suffix,suffix,0,0,0,ment,ment,cloisonner,V,TRUE,klwazOn,əmɑ̃,klwazɔn,0,_O_~_ɔ_əmɑ̃,27,0.160714285714286,0.544031500816345,0.68961939048935
clone,m,klon,0.2,3.49,21665,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clope,f,klɔp,4.93,11.94,14205,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cloque,f,klɔk,3.45,1.43,2718,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clou,m,klu,27.5,13.83,45409,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clown,m,klun,9.19,0.06,33133,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clownerie,f,klu.nə.ʁi,0.34,0,775,suffix,suffix,0,0,0,erie,erie,clown,N,TRUE,klun,əʁi,klun,0,_~_əʁi,40,0.740740740740741,0.643517374992371,0.415962423922518
